,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
3165,신중앙유통,소매,기타 음ㆍ식료품 위주 종합 소매업,강서구,부산광역시 강서구 죽동길 828,128.886888869876,35.2138853861082
3166,밀양슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 사상로277번나길 12-32,128.980244340412,35.17146702279
3167,장학서점,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 의성로47번길 20,129.010221209426,35.2164345443249
3168,제일상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 새벽로 202,128.984136185583,35.15918546378
3169,신앙촌상회,소매,기타 식료품 소매업,북구,부산광역시 북구 금곡대로 216,129.012063939331,35.2277315665127
3170,매점,소매,기타 음ㆍ식료품 위주 종합 소매업,강서구,부산광역시 강서구 녹산산단407로 32,128.862268358159,35.0915705427948
3171,명성슈퍼,소매,슈퍼마켓,강서구,부산광역시 강서구 맥도강변길 193,128.933522003376,35.1310294992767
3172,서원탑훼밀리마트,소매,기타 음ㆍ식료품 위주 종합 소매업,강서구,부산광역시 강서구 대저로273번길 54,128.982954550226,35.2151176167689
3173,청도상회,소매,기타 식료품 소매업,사상구,부산광역시 사상구 사상로238번길 47,128.985301194257,35.1665945047865
3174,신촌떡방앗간,음식,떡류 제조업,강서구,부산광역시 강서구 대저로221번나길 119,128.981709266758,35.2156865832991
3175,씨유사상유통단지점,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 괘감로 37,128.980455279266,35.1597741758499
3176,진주상회,소매,기타 식료품 소매업,사상구,부산광역시 사상구 사상로293번길 23,128.9814932998,35.1712586020556
3177,농심웰빙,소매,건강 보조식품 소매업,사상구,부산광역시 사상구 농산물시장로25번길 70,128.968397216554,35.1305305018639
3178,한양슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 가야대로360번길 45,129.012165511638,35.1491473335666
3179,코아할인마트,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 덕천로234번길 47,129.030745853225,35.2074279457164
3180,쌍용할인마트,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 만덕3로 49,129.030765945375,35.2124935720963
3181,동해산업,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 광장로56번길 52,128.981871502327,35.1597987623989
3182,정관장홍삼,소매,건강 보조식품 소매업,사상구,부산광역시 사상구 낙동대로 782,128.971819275044,35.1304219838381
3183,산포수퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 백양대로433번길 15,129.004142111567,35.1517560350103
3184,구남식육점,소매,육류 소매업,북구,부산광역시 북구 백양대로1051번길 31,128.996524164878,35.2002328868889
3185,멸치삼촌콩이언니,소매,건어물 및 젓갈류 소매업,북구,부산광역시 북구 낙동대로1776번길 30,129.00433688454,35.2086504267683
3186,금산인삼건강원건강떡집,음식,떡류 제조업,사상구,부산광역시 사상구 백양대로342번길 16,129.015758820804,35.1548140946579
3187,신한마트,소매,기타 음ㆍ식료품 위주 종합 소매업,북구,부산광역시 북구 만덕대로102번가길 30,129.017706354252,35.2124508164426
3188,삼덕상회,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 학감대로 156,128.98867011693,35.1447351661087
3189,탑마트세일,소매,슈퍼마켓,강서구,부산광역시 강서구 화전산단2로 69-15,128.879167776031,35.1047631255908
3190,승학떡방앗간,음식,떡류 제조업,사상구,부산광역시 사상구 엄궁로179번길 40,128.974028744631,35.1279974970026
3191,구명한의원건강식품판매,소매,건강 보조식품 소매업,북구,부산광역시 북구 백양대로 1125,129.001366533109,35.2046638405638
3192,동원슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,사상구,부산광역시 사상구 광장로93번길 10,128.986829825774,35.1631928051712
